PK,Abilities Element ID,Abilities Element Name,Work Activities Element ID,Work Activities Element Name
1,1.A.1.a.1,Oral Comprehension,4.A.1.a.1,Getting Information
2,1.A.1.a.1,Oral Comprehension,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings"
3,1.A.1.a.1,Oral Comprehension,4.A.1.b.1,"Identifying Objects, Actions, and Events"
4,1.A.1.a.1,Oral Comprehension,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People"
5,1.A.1.a.1,Oral Comprehension,4.A.2.a.2,Processing Information
6,1.A.1.a.1,Oral Comprehension,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards
7,1.A.1.a.1,Oral Comprehension,4.A.2.b.3,Updating and Using Relevant Knowledge
8,1.A.1.a.1,Oral Comprehension,4.A.4.a.1,Interpreting the Meaning of Information for Others
9,1.A.1.a.1,Oral Comprehension,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates"
10,1.A.1.a.1,Oral Comprehension,4.A.4.a.3,Communicating with People Outside the Organization
11,1.A.1.a.1,Oral Comprehension,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships
12,1.A.1.a.1,Oral Comprehension,4.A.4.a.5,Assisting and Caring for Others
13,1.A.1.a.1,Oral Comprehension,4.A.4.a.6,Selling or Influencing Others
14,1.A.1.a.1,Oral Comprehension,4.A.4.a.7,Resolving Conflicts and Negotiating with Others
15,1.A.1.a.1,Oral Comprehension,4.A.4.a.8,Performing for or Working Directly with the Public
16,1.A.1.a.1,Oral Comprehension,4.A.4.b.1,Coordinating the Work and Activities of Others
17,1.A.1.a.1,Oral Comprehension,4.A.4.b.2,Developing and Building Teams
18,1.A.1.a.1,Oral Comprehension,4.A.4.b.3,Training and Teaching Others
19,1.A.1.a.1,Oral Comprehension,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
20,1.A.1.a.1,Oral Comprehension,4.A.4.b.5,Coaching and Developing Others
21,1.A.1.a.1,Oral Comprehension,4.A.4.b.6,Providing Consultation and Advice to Others
22,1.A.1.a.1,Oral Comprehension,4.A.4.c.2,Staffing Organizational Units
23,1.A.1.a.1,Oral Comprehension,4.A.4.c.3,Monitoring and Controlling Resources
24,1.A.1.a.2,Written Comprehension,4.A.1.a.1,Getting Information
25,1.A.1.a.2,Written Comprehension,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings"
26,1.A.1.a.2,Written Comprehension,4.A.1.b.1,"Identifying Objects, Actions, and Events"
27,1.A.1.a.2,Written Comprehension,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People"
