PK,Abilities Element ID,Abilities Element Name,Work Context Element ID,Work Context Element Name
1,1.A.1.a.1,Oral Comprehension,4.C.1.a.2.c,Public Speaking
2,1.A.1.a.1,Oral Comprehension,4.C.1.a.2.f,Telephone Conversations
3,1.A.1.a.1,Oral Comprehension,4.C.1.a.2.l,Face-to-Face Discussions with Individuals and Within Teams
4,1.A.1.a.1,Oral Comprehension,4.C.1.a.4,Contact With Others
5,1.A.1.a.1,Oral Comprehension,4.C.1.b.1.e,Work With or Contribute to a Work Group or Team
6,1.A.1.a.1,Oral Comprehension,4.C.1.b.1.f,Deal With External Customers or the Public in General
7,1.A.1.a.1,Oral Comprehension,4.C.1.b.1.g,Coordinate or Lead Others in Accomplishing Work Activities
8,1.A.1.a.1,Oral Comprehension,4.C.1.c.1,Health and Safety of Other Workers
9,1.A.1.a.1,Oral Comprehension,4.C.1.c.2,Work Outcomes and Results of Other Workers
10,1.A.1.a.1,Oral Comprehension,4.C.1.d.1,Conflict Situations
11,1.A.1.a.1,Oral Comprehension,4.C.1.d.2,"Dealing With Unpleasant, Angry, or Discourteous People"
12,1.A.1.a.1,Oral Comprehension,4.C.1.d.3,Dealing with Violent or Physically Aggressive People
13,1.A.1.a.2,Written Comprehension,4.C.1.a.2.h,E-Mail
14,1.A.1.a.2,Written Comprehension,4.C.1.a.2.j,Written Letters and Memos
15,1.A.1.a.3,Oral Expression,4.C.1.a.2.c,Public Speaking
16,1.A.1.a.3,Oral Expression,4.C.1.a.2.f,Telephone Conversations
17,1.A.1.a.3,Oral Expression,4.C.1.a.2.l,Face-to-Face Discussions with Individuals and Within Teams
18,1.A.1.a.3,Oral Expression,4.C.1.a.4,Contact With Others
19,1.A.1.a.3,Oral Expression,4.C.1.b.1.e,Work With or Contribute to a Work Group or Team
20,1.A.1.a.3,Oral Expression,4.C.1.b.1.f,Deal With External Customers or the Public in General
21,1.A.1.a.3,Oral Expression,4.C.1.b.1.g,Coordinate or Lead Others in Accomplishing Work Activities
22,1.A.1.a.3,Oral Expression,4.C.1.c.1,Health and Safety of Other Workers
23,1.A.1.a.3,Oral Expression,4.C.1.c.2,Work Outcomes and Results of Other Workers
24,1.A.1.a.3,Oral Expression,4.C.1.d.1,Conflict Situations
25,1.A.1.a.3,Oral Expression,4.C.1.d.2,"Dealing With Unpleasant, Angry, or Discourteous People"
26,1.A.1.a.3,Oral Expression,4.C.1.d.3,Dealing with Violent or Physically Aggressive People
27,1.A.1.a.4,Written Expression,4.C.1.a.2.h,E-Mail
28,1.A.1.a.4,Written Expression,4.C.1.a.2.j,Written Letters and Memos
29,1.A.1.a.4,Written Expression,4.C.1.b.1.g,Coordinate or Lead Others in Accomplishing Work Activities
30,1.A.1.b.3,Problem Sensitivity,4.C.1.a.2.l,Face-to-Face Discussions with Individuals and Within Teams
31,1.A.1.b.3,Problem Sensitivity,4.C.1.b.1.e,Work With or Contribute to a Work Group or Team
32,1.A.1.b.3,Problem Sensitivity,4.C.1.b.1.f,Deal With External Customers or the Public in General
33,1.A.1.b.3,Problem Sensitivity,4.C.1.b.1.g,Coordinate or Lead Others in Accomplishing Work Activities
